# General
Ctrl-r =               | Insert expression result (cmd/search mode)
:'<,'>norm A,          | Append comma to each line in selection
:'<,'>norm I#          | Comment each line in selection
:t.                    | Duplicate current line below
:m+2                   | Move line 2 lines down

# Terminal
<C-h>/<C-j>/<C-k>/<C-l> | Move between splits in terminal
<C-w>                  | Exit terminal mode

# Noice
<Space>nn              | Noice messages
<Space>na              | Noice all messages
<Space>nl              | Noice last message
<Space>nt              | Noice telescope
<Space>ne              | Noice errors
<Space>ns              | Noice notifications

# Treesitter Context
<leader>ct             | Toggle context

# Todo Comments
]t                     | Next todo comment
[t                     | Previous todo comment
